Code,Description,origin_airport_id_ordered,dest_airport_id_ordered
14222,"Pago Pago, TT: Pago Pago International",304.0,39.0
14252,"Pasco/Kennewick/Richland, WA: Tri Cities",126.0,185.0
14254,"Ponce, PR: Mercedita",86.0,294.0
14256,"Petersburg, AK: Petersburg James A Johnson",24.0,61.0
14262,"Palm Springs, CA: Palm Springs International",265.0,164.0
14307,"Providence, RI: Theodore Francis Green State",65.0,166.0
14321,"Portland, ME: Portland International Jetport",256.0,248.0
14457,"Rapid City, SD: Rapid City Regional",106.0,90.0
14487,"Redding, CA: Redding Municipal",257.0,228.0
14489,"Bend/Redmond, OR: Roberts Field",269.0,220.0
14492,"Raleigh/Durham, NC: Raleigh-Durham International",161.0,226.0
14520,"Rhinelander, WI: Rhinelander/Oneida County",170.0,63.0
14524,"Richmond, VA: Richmond International",246.0,276.0
14543,"Rock Springs, WY: Rock Springs Sweetwater County",25.0,43.0
14570,"Reno, NV: Reno/Tahoe International",151.0,143.0
14574,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",169.0,146.0
14576,"Rochester, NY: Greater Rochester International",140.0,200.0
14588,"Roswell, NM: Roswell International Air Center",124.0,59.0
14633,"Rochester, MN: Rochester International",159.0,133.0
14635,"Fort Myers, FL: Southwest Florida International",175.0,198.0
14674,"Santa Fe, NM: Santa Fe Municipal",306.0,297.0
14679,"San Diego, CA: San Diego International",97.0,111.0
14683,"San Antonio, TX: San Antonio International",83.0,179.0
14685,"Savannah, GA: Savannah/Hilton Head International",222.0,178.0
14689,"Santa Barbara, CA: Santa Barbara Municipal",286.0,196.0
14696,"South Bend, IN: South Bend International",221.0,274.0
14698,"San Luis Obispo, CA: San Luis County Regional",238.0,184.0
14709,"Deadhorse, AK: Deadhorse Airport",2.0,5.0
14711,"State College, PA: University Park",250.0,289.0
14730,"Louisville, KY: Louisville International-Standiford Field",112.0,118.0
14747,"Seattle, WA: Seattle/Tacoma International",72.0,95.0
14771,"San Francisco, CA: San Francisco International",260.0,303.0
14783,"Springfield, MO: Springfield-Branson National",177.0,139.0
14794,"St. George, UT: St George Regional",26.0,51.0
14814,"Shreveport, LA: Shreveport Regional",223.0,242.0
14828,"Sitka, AK: Sitka Rocky Gutierrez",30.0,32.0
14831,"San Jose, CA: Norman Y. Mineta San Jose International",96.0,88.0
14842,"San Angelo, TX: San Angelo Regional/Mathis Field",294.0,246.0
14843,"San Juan, PR: Luis Munoz Marin International",155.0,250.0
14869,"Salt Lake City, UT: Salt Lake City International",58.0,62.0
14893,"Sacramento, CA: Sacramento International",117.0,150.0
14905,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",298.0,301.0
14908,"Santa Ana, CA: John Wayne Airport-Orange County",74.0,48.0
14952,"Springfield, IL: Abraham Lincoln Capital",226.0,218.0
14955,"Saipan, TT: Francisco C. Ada Saipan International",274.0,1.0
14960,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",227.0,275.0
14986,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",232.0,142.0
15016,"St. Louis, MO: St Louis Lambert International",147.0,135.0
15024,"Charlotte Amalie, VI: Cyril E King",160.0,193.0
15027,"Christiansted, VI: Henry E. Rohlsen",130.0,217.0
15041,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",251.0,109.0
15070,"Newburgh/Poughkeepsie, NY: Stewart International",276.0,306.0
15096,"Syracuse, NY: Syracuse Hancock International",220.0,263.0
15249,"Tallahassee, FL: Tallahassee International",79.0,115.0
15304,"Tampa, FL: Tampa International",144.0,216.0
15323,"Bristol/Johnson City/Kingsport, TN: Tri Cities",196.0,190.0
15356,"Trenton, NJ: Trenton Mercer",270.0,291.0
15370,"Tulsa, OK: Tulsa International",62.0,163.0
15376,"Tucson, AZ: Tucson International",123.0,201.0
15380,"Traverse City, MI: Cherry Capital",210.0,251.0
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",54.0,18.0
15401,"Texarkana, AR: Texarkana Regional-Webb Field",293.0,299.0
15411,"Tyler, TX: Tyler Pounds Regional",11.0,42.0
15412,"Knoxville, TN: McGhee Tyson",199.0,273.0
15497,"St. Augustine, FL: Northeast Florida Regional",291.0,287.0
15607,"Valdosta, GA: Valdosta Regional",202.0,243.0
15624,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",133.0,104.0
15841,"Wrangell, AK: Wrangell Airport",56.0,45.0
15897,"West Yellowstone, MT: Yellowstone",27.0,20.0
15919,"Fayetteville, AR: Northwest Arkansas Regional",211.0,237.0
15991,"Yakutat, AK: Yakutat Airport",5.0,21.0
16218,"Yuma, AZ: Yuma MCAS/Yuma International",20.0,15.0
